year,M_obs,W_obs,r_pf,a_pf,K_pf,r_gp_mean,a_gp_mean,K_gp_mean
1959.0,538.0,20.0,0.2996794228233869,0.0005048367182892137,1502.8547352559976,0.29967939465509924,0.0005048370524661225,1502.8547892675438
1960.0,564.0,22.0,0.29784735625859177,0.0005040063635114924,1482.760614264479,0.297847325784879,0.0005040069143427161,1482.760731195538
1961.0,572.0,22.0,0.2934095322345765,0.0005142251991217637,1432.1453343423548,0.2934094988719989,0.0005142254925212298,1432.1453448335549
1962.0,579.0,23.0,0.28872970727458247,0.0005270679946795376,1346.360476944094,0.2887296904035012,0.0005270682945939931,1346.360230566011
1963.0,596.0,20.0,0.28487428065455234,0.0005380242987198543,1270.9170877603035,0.2848742641619609,0.0005380245168905316,1270.916885140783
1964.0,620.0,26.0,0.28393320324531973,0.0005545897372750491,1204.2264867616464,0.2839331878002317,0.0005545899775526857,1204.2264960074542
1965.0,634.0,28.0,0.2852819968846611,0.0005698180854342117,1130.9630267663028,0.28528198097657514,0.0005698183531720403,1130.963287047049
1966.0,661.0,26.0,0.28924523228257965,0.0005828670158303357,1055.991956180033,0.2892452125505669,0.0005828672843959358,1055.9924401279397
1967.0,766.0,22.0,0.28613387838053667,0.000579564661058998,1085.6489914216552,0.28613386226236665,0.0005795649707207493,1085.6493001649353
1968.0,848.0,22.0,0.2829875210433697,0.0005782832226195278,1115.3401630159508,0.2829875075482595,0.0005782834457230553,1115.3404477759625
1969.0,1041.0,17.0,0.27977502848038005,0.000568713853597212,1216.9189724466462,0.279775020672082,0.0005687141018278351,1216.9192428264264
1970.0,1045.0,18.0,0.27886686267693955,0.0005665555968143544,1233.7237402157937,0.27886684752367663,0.0005665559088975644,1233.7239679957231
1971.0,1183.0,20.0,0.2770269638871684,0.0005667306418427702,1328.7964191218755,0.27702696241181607,0.0005667307717745001,1328.7962613817754
1972.0,1243.0,23.0,0.27529828785223787,0.0005691547731096033,1387.814184308283,0.2752982817003939,0.0005691547600205733,1387.814227432024
1973.0,1215.0,24.0,0.2761480937461548,0.0005735238061460863,1344.0771466972803,0.2761480959473403,0.000573523979578161,1344.0776532780612
1974.0,1203.0,31.0,0.2755407003156127,0.0005901131364112499,1332.0068546879465,0.27554069589841124,0.000590113380664324,1332.0070091795749
1975.0,1139.0,41.0,0.27721705384477746,0.0006385820641087817,1300.034344293532,0.2772170299129063,0.0006385823197564557,1300.0348105821893
1976.0,1070.0,44.0,0.2797991386092712,0.0007153098494761633,1281.4006287380264,0.2797991264595005,0.0007153102914141127,1281.400896021522
1977.0,949.0,34.0,0.2803193085286088,0.0007136270602788354,1236.8752457925088,0.28031929696960156,0.0007136276456079743,1236.8753918007153
1978.0,845.0,40.0,0.27737884774666877,0.0007390385019999107,1206.111307489842,0.27737884178456734,0.0007390385625273953,1206.1113750300044
1979.0,857.0,43.0,0.27531239853704276,0.0008153666978845279,1202.3609587489914,0.2753124013339292,0.0008153665566874158,1202.3611371051113
1980.0,788.0,50.0,0.27369472296502606,0.0009955464439385235,1228.264326973212,0.2736947116817384,0.0009955461428906701,1228.2645692657936
1981.0,767.0,30.0,0.26973474198093533,0.0009580692578675656,1198.9686621668493,0.2697347402561941,0.0009580687264886058,1198.9684256352823
1982.0,780.0,14.0,0.2626713021769219,0.0008188288490293395,1146.3784189999901,0.26267131425508516,0.000818828834163827,1146.3788528405157
1983.0,830.0,23.0,0.26113104723278985,0.0008177047600748853,1138.3138933172713,0.2611310535659456,0.0008177048613100225,1138.3141759617888
1984.0,927.0,24.0,0.26566352915739705,0.0008584187995193898,1157.2202415417048,0.26566351281030953,0.000858419908899525,1157.220458685051
1985.0,976.0,22.0,0.2669501087133765,0.000860955693039483,1162.4202521718732,0.2669501106286413,0.000860955360905213,1162.4203983812088
1986.0,1014.0,20.0,0.2666282943828738,0.0008641888084932548,1165.1722149717389,0.26662829756082485,0.0008641883840302618,1165.1723599759941
1987.0,1046.0,16.0,0.2675009939767379,0.000844891805305403,1162.4655278191753,0.26750098459243526,0.0008448918490826749,1162.4657686966448
1988.0,1116.0,12.0,0.2691728175240777,0.0008583353830968027,1184.9161473938907,0.26917281502397344,0.0008583354396443757,1184.9165029256376
1989.0,1260.0,12.0,0.2707319021947617,0.0009508581189537735,1258.0828447775696,0.2707319006216701,0.0009508580600130003,1258.0837966627753
1990.0,1315.0,15.0,0.2690166750015054,0.0010209628604088495,1316.8932754701307,0.26901667605500046,0.0010209622812681514,1316.8933748430964
1991.0,1496.0,12.0,0.2669499849521204,0.0010773804899419056,1404.1902645418986,0.2669499907121911,0.001077379422030368,1404.1900902566003
1992.0,1697.0,12.0,0.26326991353490387,0.0011441905015197908,1505.1339133823042,0.26326991940113315,0.0011441902083934577,1505.1338259146498
1993.0,1784.0,13.0,0.2657129079639938,0.001261756450346105,1591.9703873824803,0.2657129136300015,0.0012617554362436344,1591.970068886062
1994.0,2017.0,17.0,0.266949371327759,0.0013536445648542183,1710.042728607858,0.26694937833583265,0.0013536439105999696,1710.042282343985
1995.0,2117.0,16.0,0.26480319206891234,0.0013457440244499712,1747.3333190970598,0.26480318510819806,0.0013457436285844954,1747.333240389654
1996.0,2398.0,22.0,0.26176837843668493,0.0014339214530876224,1743.8937612083248,0.26176838375670164,0.0014339207832853595,1743.8936119431855
1997.0,900.0,24.0,0.26207250975829993,0.001256101217635665,1726.9742296196755,0.2620725284380543,0.0012561007037913932,1726.9738826265952
1998.0,925.0,14.0,0.2601542695389819,0.0012472342945955702,1732.25982345652,0.2601542710733362,0.0012472340981722284,1732.2595788403394
1999.0,997.0,25.0,0.25813112805454425,0.0012371553916656955,1722.3115299422655,0.2581311369515881,0.0012371550744230285,1722.3113219940885
2000.0,1031.0,29.0,0.2578392496500278,0.0012396573047932754,1720.5970457491626,0.25783927401356954,0.0012396572587235408,1720.596929671025
2001.0,1120.0,19.0,0.2580872119324099,0.0012411258698170936,1715.70935738953,0.2580872196549726,0.0012411254411296773,1715.7090880087883
2002.0,1100.0,17.0,0.25835492432646817,0.0012424983609714121,1711.39462337794,0.25835493328364384,0.0012424980003799874,1711.3943579278478
2003.0,900.0,19.0,0.2544872988135684,0.0012455455348655145,1700.5941331013985,0.25448731036394445,0.0012455451225764724,1700.5941288953875
2004.0,750.0,29.0,0.2502997716666224,0.0012466407877808577,1699.5527564143447,0.2502997983810748,0.0012466398257991063,1699.5523976020622
2005.0,540.0,30.0,0.24986503291757828,0.001249090873147041,1676.692053774595,0.24986504832975015,0.001249090556028149,1676.6916205742596
2006.0,450.0,30.0,0.24846078118604997,0.001247973624840586,1659.943293030708,0.24846079874795662,0.0012479732147862754,1659.9431947161095
2007.0,385.0,21.0,0.24821117663932113,0.0012420025158001499,1669.460053678767,0.24821119390665525,0.0012420021199594548,1669.4596386727762
2008.0,650.0,23.0,0.24925899800442922,0.0012414572417585625,1665.0106006052838,0.24925901411708842,0.0012414570918834742,1665.0095468880718
2009.0,530.0,24.0,0.2509939903513131,0.0012437355232157382,1660.4850996847067,0.25099402076564653,0.0012437353671187247,1660.4849330295458
2010.0,510.0,19.0,0.2555055698332461,0.0012425014543340327,1667.041698982149,0.2555055821795763,0.0012425014345515926,1667.0414891570874
2011.0,515.0,16.0,0.2601603884864079,0.00123901854755196,1676.8804697062726,0.26016040040765087,0.0012390184771814054,1676.8804457739977
2012.0,750.0,9.0,0.25962509995743294,0.0012395676939384427,1676.2256823226032,0.2596251063948822,0.001239567367527014,1676.2252451937945
2013.0,975.0,8.0,0.2597188234212365,0.001239942588971237,1676.089421017846,0.2597188313839165,0.0012399424397467552,1676.0892884083592
2014.0,1050.0,9.0,0.25993781620114853,0.001239652811404475,1677.1440995635028,0.25993782470777566,0.0012396523547520781,1677.143232553252
2015.0,1250.0,3.0,0.26108449960351254,0.0012394303335335774,1683.751056852968,0.26108450475976686,0.0012394300277503041,1683.7507621337008
2016.0,1300.0,2.0,0.26119273353351596,0.001238623900698523,1685.4781373779388,0.2611927381690911,0.0012386236930506773,1685.478290303857
2017.0,1600.0,2.0,0.2684140907458563,0.0012382297837183471,1704.0037935275302,0.2684141012484146,0.001238229403389956,1704.00376973643
2018.0,1475.0,2.0,0.26745882208926686,0.0012378536248135756,1699.8585167517026,0.2674588252458328,0.0012378537275608299,1699.8578559733226
2019.0,2060.0,15.0,0.26986133826838044,0.0012504249628501353,1787.5554738249698,0.26986135194882027,0.0012504244011307026,1787.5552538497761
